LPI.common.name,GBIF.common.name,species,downloader,data.available,geographic.range,hab_spec,IUCN,hab_spec_notes
Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Hannah,Yes,World,5,LC,"Foraging range This species dives to maximum depths of 170-230m. During the breeding season, surveys recorded the highest densities of birds in the 51 - 100 m depth zone, although birds were still abundant in water less than 50 m and 101 - 200 m deep. Very few were seen in deeper areas (Wanless et al. 1990). The foraging range of this species appears variable across seasons and years. At the Isle of May, Scotland, during 1986 around 70% of foraging trips were over 7 km from the colony, whereas in the following year the birds tended to make shorter trips (Wanless et al. 1990). Foraging trips in eastern Canada are within 100 km (Cairns et al. 1987, Davoren et al. 2003), and in Pribilof Islands, Alaska, foraging occurred mostly within 60 km. In Witless Bay, Newfoundland, foraging aggregations formed over large Capelin schools within 5 km of breeding sites. Along the Newfoundland coastline, aggregations occurred within 15 km of the colonies, and at an offshore ridge about 80 km southeast of the colonies. Despite these large foraging radii, waters close to the colony were the most frequent destination of feeding birds. This was particularly true during chick rearing, when only one third of feeding trips could have exceeded 10 km from the colony (Cairns et al. 1987). In Pribilof Islands, Alaska, birds showed a consistent preference for shallower waters (Schneider and Hunt 1984). High densities of foraging birds have also been observed foraging over a submarine ridge (Coyle et al. 1992). In Kachemak Bay, Alaska, it appears that birds tend to feed over rocky substrates in water depths of about 18 to 55 m (Sanger 1987). They have also been observed to forage in riptides (Wanless et al. 1990), and in areas of sandy sediment suitable for sandeels (Wanless et al. 1998, BirdLife International 2000). Near Flamborough Head, UK, the Farallones, California, and Pribilof Islands, Alaska, birds forage at fronts between thermally distinct bodies of water. In the UK example, this occurs at a seasonally-occuring front between thermally-mixed and thermally-stratified water, whereas in the Farallones, the front was between cold and salty upwellings and estuarine outflow (Decker and Hunt 1996, BirdLife International 2000)."
Common pintail / Northern pintail,Common pintail / Northern pintail,Anas acuta,John,yes,NA,15,LC,"The species shows a preference for open lowland grassland (Snow and Perrins 1998), prairie or tundra habitats (Johnsgard 1978) containing freshwater, brackish and saline wetlands with shallow water (10-30 cm deep (Snow and Perrins 1998)) to facilitate dabbling (Kear 2005b). Wetland habitats include shallow freshwater marshes (Johnsgard 1978, del Hoyo et al. 1992, Hockey et al. 2005), small marshy lakes, slow-flowing rivers (Johnsgard 1978, Madge and Burn 1988, del Hoyo et al. 1992, Hockey et al. 2005), wet meadows (Madge and Burn 1988), flood-plains and sewage ponds (southern Africa) (Hockey et al. 2005), especially favouring ponds with low, dense marginal vegetation and wetlands interspersed with brushy thickets or copses (Johnsgard 1978). During the winter it also frequents large inland lakes (Scott and Rose 1996), brackish coastal lagoons (Madge and Burn 1988, del Hoyo et al. 1992, Scott and Rose 1996), brackish (Madge and Burn 1988) and saline marshes (Steele et al. 1997), shallow fresh or brackish estuaries (Johnsgard 1978, Brown et al. 1982, Snow and Perrins 1998), tidal flats (Madge and Burn 1988) and river deltas (Scott and Rose 1996) with adjacent agricultural land (e.g. stubble fields (Snow and Perrins 1998)) and scattered impoundments (Johnsgard 1978). "
Common pipistrelle,Common pipistrelle,Pipistrellus pipistrellus,Hannah,Yes,Europe,9,LC,"variety of habitats including open woodland and woodland edges, Mediterranean shrubland, semi-desert, farmland, rural gardens and urban areas. It feeds on small moths and flies. Summer roosts are mainly found in buildings and trees, and individuals frequently change roost site through the maternity period. Most winter roost sites are located in crevices in buildings, although cracks in cliffs and caves and possibly holes in trees may also be used."
Common pochard / European pochard,Common pochard / European pochard,Aythya ferina,Hannah,Yes,partWorld,6,VU,"well-vegetated eutrophic to neutral swamps, marshes, lakes and slow-flowing rivers with areas of open water and abundant emergent fringing vegetation. It also breeds on saline, brackish and soda lakes and occasionally even in sheltered coastal bays (Kear 2005). The breeding grounds are reoccupied from early March (in the south) to early May (in Siberia) (Scott and Rose 1996) with breeding starting from April-May. During the winter the species frequents similar habitats to those it breeds in, including large lakes, slow-flowing rivers, reservoirs, brackish waters, marshes, weirs (Africa) and flooded gravel pits (Brown et al. 1982, Madge and Burn 1988, del Hoyo et al. 1992, Fox et al. 1994, Scott and Rose 1996). The nest is a depression or shallow cup in a thick heap of vegetation positioned on the ground in shallow water (Johnsgard 1978, Madge and Burn 1988, del Hoyo et al. 1992, Snow and Perrins 1998, Kear 2005b). As in the breeding season, the species will shift to coastal habitats such as brackish lagoons, tidal estuaries and inshore waters (where it associates with sewage outfalls [Kear 2005b]) when driven by frost or other compelling factors (Madge and Burn 1988, del Hoyo et al. 1992, Scott and Rose 1996, Snow and Perrins 1998)."
Common raven / Raven,Common raven / Raven,Corvus corax,Hannah,Yes,World,7,LC," throughout forested and open coastal, steppe, mountain, tundra and cliff regions of the Northern Hemisphere. It generally occupies more open habitat in the south and north portions of range where cliffs, sparse trees and human structures provide nest locations. In middle latitudes it is generally found in coniferous and broadleaf forests, where tree-nesting often more common than cliff-nesting. It is abundant in temperate (coniferous) rainforest along the north Pacific coast of North America. "
Common ringed plover / Ringed plover,Common ringed plover / Ringed plover,Charadrius hiaticula,Hannah,Yes,World,11,LC," breeds primarily on sand or shingle beaches either along the Arctic coast (Hayman et al. 1986, del Hoyo et al. 1996, Snow and Perrins 1998) or around coastal tundra pools or lakes (Johnsgard 1981). In the south of its range it may also breed inland on the Arctic tundra (Hayman et al. 1986, del Hoyo et al. 1996) on muddy plains with stones or pebbles (Johnsgard 1981), on shores and sandbars of inland rivers, lakes, gravel pits or reservoirs (Hayman et al. 1986, del Hoyo et al. 1996, Snow and Perrins 1998), or on short grassland, farmland (del Hoyo et al. 1996, Snow and Perrins 1998) and other well-drained sites (Snow and Perrins 1998). Non-breeding Outside of the breeding season the species inhabits muddy, sandy or pebbly coasts in the tropics and subtropics (Johnsgard 1981) including estuaries (del Hoyo et al. 1996), tidal mudflats, sandflats and exposed coral reefs (Urban et al. 1986). It also frequents mudbanks or sandbanks along rivers and lakes (Urban et al. 1986), lagoons, saltmarshes, short grassland, farmland, flooded fields, gravel pits, reservoirs (del Hoyo et al. 1996), sewage works and saltpans during this season (Hockey et al. 2005)."
Common sandpiper,Common sandpiper,Actitis hypoleucos,Hannah,Yes,partWorld,14,LC,"During the breeding season this species shows a preference for pebbly, sandy or rocky margins of fast-flowing rivers (del Hoyo et al. 1996, Snow and Perrins 1998), as well as small ponds, pools (Snow and Perrins 1998) and dams (Urban et al. 1986), clear freshwater lake shores, sheltered sea coasts with rocky or sandy beaches, tidal creeks and estuaries (Urban et al. 1986), and often forages in patches of dry meadow (del Hoyo et al. 1996). It occurs from sea level up to 4,000 m or more in the mountains, but generally avoid frozen, snow-clad or very hot areas (Snow and Perrins 1998). Non-breeding In its winter range this species inhabits a wide variety of habitats, such as small pools, ditches, riverbanks (del Hoyo et al. 1996, Snow and Perrins 1998), streams, dam shores (Yalden 1992), marshy areas (Johnsgard 1981), estuaries, freshwater seeps on coastal shores, tidal creeks in mangrove swamps and saltmarshes, harbours, docks (Yalden 1992, Snow and Perrins 1998) and filtration tanks of sewage works (Yalden 1992). It will also forage on grassland along roadsides and occasionally in gardens (Yalden 1992, del Hoyo et al. 1996), but it generally avoids large coastal mudflats (del Hoyo et al. 1996)."
Common shelduck,Common shelduck,Tadorna tadorna,John,yes,NA,5,LC,"The species shows a preference for saline habitats and frequents mudflats (del Hoyo et al. 1992) and muddy or sandy (Madge and Burn 1988) estuaries (Madge and Burn 1988, del Hoyo et al. 1992) in coastal regions, and occurs inland on saline and brackish lakes in steppe or semi-desert (Madge and Burn 1988). Asiatic populations also occupy freshwater rivers or marshes (Kear 2005a) and other populations utilise freshwater habitats on migration (Flint et al. 1984)."
Common sole,Common sole,Dover sole,Hannah,Yes,partWorld,3,DD," benthic species that occurs at a temperature range of 8.0-24.0ŒÁC (Moreira et al. 1992). It burrows into sandy and muddy substrata from zero to 200 m, but usually 10-60 m. It retreats to deeper water during winter"
Common starling / European starling,Common starling / European starling,Sturnus vulgaris,Hannah,Yes,World,14,LC,"open country, including modified habitats, with access to suitable nesting and roosting sites. It requires cavity nest-sites, typically in woodland or on man-made structures, close to open areas of short grassland for foraging. At other times it exploits a wide range of habitats, including moorland, saltmarshes, seashore and tidal flats, stubble fields, orchards, refuse dumps and sewage-treatment works. It roosts in reedbeds, scrub and trees, as well as bridges and buildings and even in town centres."
Common teal / Green-winged teal,Common teal / teal,Anas crecca,John,yes,NA,12,LC,"Breeding The species shows a preference for shallow (Madge and Burn 1988, Kear 2005b) permanent waters (Johnsgard 1978) in the breeding season (Madge and Burn 1988, Snow and Perrins 1998), especially those in the vicinity of woodlands with fairly dense herbaceous cover available nearby for nesting (Johnsgard 1978). Small freshwater lakes and shallow marshes with abundant emergent vegetation (Johnsgard 1978, del Hoyo et al. 1992) are preferred to open water (Johnsgard 1978), as are small waterbodies forming part of a larger wetland, lake or river system, especially in the valleys of small forested rivers (Snow and Perrins 1998). Other suitable habitats include small ponds, pools (Madge and Burn 1988, Snow and Perrins 1998), oxbow lakes, lagoons (Snow and Perrins 1998) and slow-flowing streams (Brown et al. 1982, Snow and Perrins 1998). Non-breeding Outside of the breeding season the species frequents similar habitats to those in which it breeds (Brown et al. 1982), including marsh and lake habitats and other sheltered waters with high productivity and abundant vegetation (Kear 2005b) as well as flooded fields and artificial waters (e.g. reservoirs) (Snow and Perrins 1998). During the winter the species also occurs along the coast (del Hoyo et al. 1992, Scott and Rose 1996) on saline (Snow and Perrins 1998) or brackish lagoons with abundant submergent vegetation (Kear 2005b), saltmarshes (Madge and Burn 1988), tidal creeks (Johnsgard 1978), intertidal mudflats (Johnsgard 1978, Kear 2005b), river deltas (Madge and Burn 1988), estuarine waters (Madge and Burn 1988, Kear 2005b) and even sheltered coastal bays (Madge and Burn 1988), although it does show a preference for marshes with mud flats for foraging rather than more saline or open-water habitats (Johnsgard 1978)."
Common tern,Common tern,Sterna hirundo,Hannah,Yes,World,14,LC,"The species breeds in a wide variety of habitats in coastal and inland areas from sea-level to heights of greater than 4,000 m (del Hoyo et al. 1996). Along the coast it shows a preference for nesting on flat rock surfaces on inshore islands (Snow and Perrins 1998), open shingle and sandy beaches, dunes and spits (del Hoyo et al. 1996, Snow and Perrins 1998), vegetated inter-dune areas, sandy, rocky, shell-strewn or well-vegetated islands in estuaries (del Hoyo et al. 1996)and coastal lagoons (Snow and Perrins 1998), saltmarshes (Richards 1990, Snow and Perrins 1998), mainland peninsulas (Snow and Perrins 1998) and grassy plateaus atop coastal cliffs (del Hoyo et al. 1996). Inland it may nest in similar habitats including sand or shingle lakes shores (Richards 1990), shingle banks in rivers (Snow and Perrins 1998), sandy, rocky, shell-strewn or well-vegetated islands in lakes and rivers (del Hoyo et al. 1996, Snow and Perrins 1998), sand- or gravel-pits (Richards 1990, Snow and Perrins 1998), marshes, ponds, grassy areas and patches of dredged soil (Snow and Perrins 1998). Non-breeding The species winters on sheltered coastal waters (Higgins and Davies 1996), estuaries and along large rivers, occupying harbours, jetties, piers, beaches (del Hoyo et al. 1996) and coastal wetlands including lagoons, rivers, lakes, swamps and saltworks, mangroves and saltmarshes (Higgins and Davies 1996). During this season it roosts on unvegetated sandy beaches, shores of estuaries or lagoons, sandbars and rocky shores (Higgins and Davies 1996)."
Common toad,Common toad,Bufo bufo,Hannah,Yes,partWorld,10,LC,"adaptable species present in coniferous, mixed and deciduous forests, groves, bushlands, meadows, arid areas, parks and gardens. It is usually in damp areas with dense vegetation, and large open areas are generally avoided. The species spawns and larval development takes place in still waters and slow-moving parts of rivers and streams. It is present in many modified habitats."
Common Wall Lizard,Common Wall Lizard,Podarcis muralis,Hannah,Yes,Europe,9,LC,"It can be occur in rocky and scree areas, scrubland, deciduous and coniferous woodland, orchards, vineyards, fields, stone walls, and on buildings. It is often found in human settlements including large cities and villages and railway lines which may be a possible method of dispersal."
Corn bunting,Corn bunting,Miliaria calandra,Hannah,Yes,partWorld,4,LC,"open rolling grasslands, both in natural steppe and in agricultural land. It tolerates scattered bushes, but avoids extensive bushy cover (Madge and de Juana 2016). In the northern part of its European range it is confined mainly to cereal fields and hay meadows. In southern Europe it has a broader habitat array occupying several types of open country, including grasslands and steppes. During winter it gathers in flocks and may show rather short distance displacements to favourable feeding grounds, often fallow or stubble fields (Hagemeijer and Blair 1997, Bos and van Noorden 2010, Madge and de Juana 2016)."
Corncrake,Corncrake,Crex crex,Hannah,Yes,partWorld,8,LC,"The species breeds in open or semi-open habitats, mainly meadows with tall grass. The original breeding habitat would almost certainly have been riverine meadows of Carex-Iris-Typhoides and alpine, coastal and fire-created grasslands with few trees or bushes present (Green et al. 1997). The species is now strongly associated with agricultural grassland managed for the production of hay (Barnes 2000). Suitable habitats include moist, unfertilised grassland and regularly cut meadows in areas of low-intensity agriculture where vegetation grows tall in summer. Across its European range, hay or silage fields in valleys liable to flooding seem of most importance, but birds also breed in hay and silage fields in subalpine areas. Wetlands and marsh edges may act as important refuges when drier habitats are unsuitable. Males are also found singing in clear-cuts in forest, pastures and young conifer plantations. Singing males can regularly be heard in fertilised meadows or fields sown with cereals, but successful reproduction here is thought to be infrequent (Schí_ffer and Mammen 1999). In Bulgaria radio tracking showed that the two broods are produced in different locations, the second brood at a significantly higher altitude than the first one, thus benefiting from delayed vegetation development and later hay mowing at higher altitudes (Niemann 1995). It avoids very marshy areas, standing water, river and lake margins and open ground with rocks, stones and gravel (Del Hoyo et al. 1996), and also those areas with a thick layer of dead grass or very dense vegetation above 50cm tall (Cramp and Simmons 1980). Adults move to areas of high herbage along ditches to moult after breeding (Taylor and van Perlo 1998): embankments or fallow areas adjacent to the breeding habitat are very important as moulting sites (Taylor and van Perlo 1998). Non-breeding During migration it occurs in a variety of habitats including wheat fields and on golf courses (Taylor and van Perlo 1998). In the wintering grounds dry grassland and savanna are preferred with birds also occurring in rank grass near rivers, sewage ponds and pools and in relatively short grass in wetter areas, moist sedgebeds and reedbeds and in tall grass within young conifer plantations (Barnes 2000). It also occurs in Eragrostis hayfields, old land and pastures, maize fields bounded by grass, fallow and abandoned cultivation uncut grass on airfields, and the edges of sugarcane (Barnes 2000). It occurs where vegetation is between 30cm and 2m in height, and often in areas that are burnt during the dry season (Taylor and van Perlo 1998)."
European hake,Cornish salmon / European hake / Hake,Merluccius merluccius,John,yes,NA,3,LC,"This is a demersal species, that is found usually between 70 and 370 m depth. In the Mediterranean Sea, it has been found from 30 to 1,000 m. In the Ligurian Sea the species was caught starting from 18 m depth (Relini et al. 1986). It lives close to the bottom during the day, but moves off-bottom at night. Adults feed mainly on fishes (small hakes, anchovies, pilchard, herrings, cod fishes, sardines and gadoid species) and squids. "
Witch flounder,Craig fluke / Flet / Gray sole / Witch flounder,Glyptocephalus cynoglossus,John,yes,NA,NA,NA,NA
Cuckoo ray,Cuckoo ray / sandy ray,Raja naevus,John,yes,NA,2,LC,"The species is found on the continental shelf and slope at depths of 20-500 m, and more commonly at about 200 m in the Mediterranean Sea (Serena 2005). It is typically an offshore species, occurring further offshore than, for example, Spotted Skate (Raja montagui) and Thornback Skate (Raja clavata). It is abundant on coarse sand and gravel substrates in the Irish Sea and western English Channel."
Light-bellied brent goose / Dark-bellied brent goose,Dark-bellied brent goose,Branta bernicla,Claudia,Yes,partWorld,2,LC,breeds in coastal Arctic tundra (del Hoyo et al. 1992) in or close to wet coastal meadows with abundant grassy vegetation (Kear 2005a) and on tundra-covered flats with tidal streams
Daubenton's bat,Daubenton's bat,Myotis daubentonii,Hannah,Yes,Europe,5,LC,"forages over natural and artificial water bodies (including fjords), sometimes in woodland or scrub. Summer roosts are in tree hollows, caves, buildings and other artificial structures (e.g. bridges, cellars) in mixed sex colonies. It winters in a wide range of underground habitats."
Small-spotted catshark,Dogfish / Fay dog / Small-spotted catshark,Scyliorhinus canicula,John,yes,NA,7,LC,"This is a small, temperate, bottom-dwelling catshark is found o from the shallow sub-littoral to the edge of the continental shelf to depths of at least 300 m in the north (Ellis¥Ë_et al. 2005), and occur deeper further south and in the Mediterranean Sea. Around the British Isles they are more common in waters <150 m deep. The species is widespread and abundant on a variety of substrates (sandy, coralline algal, gravelly or muddy bottoms).¥Ë_"
Dragonet,Dragonet,Callionymus lyra,Hannah,Yes,partWorld,1,LC,pelagic
Dunlin,Dunlin,Calidris alpina,Hannah,Yes,World,11,LC,"In the breeding season this species frequents moist boggy ground interspersed with surface water, such as tussock tundra and peat-hummock tundra in the arctic, as well as wet coastal grasslands, salt marshes and wet upland moorland (Cramp and Simmons 1977, del HoyoŒæet al.Œæ1996).ŒæNon-breedingŒæIn the non-breeding season this species mainly prefer estuarine mudflats, but also frequent a wide variety of freshwater and brackish wetlands (Cramp and Simmons 1977, del HoyoŒæet al.Œæ1996), both coastal and inland, including lagoons, muddy freshwater shores, tidal rivers, flooded fields, sewage farms, salt-works, sandy coasts (Cramp and Simmons 1977, del HoyoŒæet al.Œæ1996), lakes and dams (HockeyŒæet al.Œæ2005). For roosting during high tides and at night this species prefers large fields of naturally fertilised short pasture or soil-based crops with few vertical structures that could be used by predators (Shepherd and Lank 2004).Œæ"
Dunnock / Hedge accentor / Hedge sparrow,Dunnock / Hedge accentor / Hedge sparrow,Prunella modularis,Hannah,Yes,partWorld,10,LC,"This species is found in a wide variety of habitats across its range. It breeds in scrub and stunted woodland in alpine, subarctic and tundra habitats in the north and east of the range. In the north of the range it uses coniferous, broadleaf and mixed forests, particularly alongside water. In the west of the range (from the U.K., Belgium and western Germany south to Iberia) it is mainly found in lowlands, using managed woodland with thick understorey, hedges and farm woodland, suburban and urban gardens, parks, and any other habitat with scrubby vegetation. It breeds from March to July across much of the range, whilst in Russia it breeds from May to August."
Tope shark,Eastern school shark / Tope shark / Flake / Greyboy,Galeorhinus galeus,John,yes,NA,6,VU,"Most abundant in cold to warm temperate continental seas, from the surfline and very shallow water to well offshore (Compagno in prep b). In Australasia G. galeus occurs over the continental shelf from shallow, inshore bays (mainly juveniles) to about 800 m depth on the continental slope. At least in some areas (Northeast Atlantic, Tasman Sea) they also extend offshore up to 1,610 km from the coast (Fitzmaurice 1979, Brown et al. 2000). The species is primarily found near the bottom but ranges through the water column even into the pelagic zone. Similar to the Australian and South American populations, the South African population inhabits cool waters from the coastal surfline to the continental shelf (>400 m). "
Eurasian coot / Common coot,Eurasian coot,Fulica atra,John,yes,NA,12,LC,"The species inhabits large, still or slow-flowing waters (del Hoyo et al. 1996, Snow and Perrins 1998) and shows a preference for shallow water with adjacent deeper water (e.g. > 2 m) for diving (Taylor and van Perlo 1998), and muddy substrates, marginal, emergent, floating or submergent vegetation (del Hoyo et al. 1996, Snow and Perrins 1998, Taylor and van Perlo 1998). Habitats include eutrophic and mesotrophic (Taylor and van Perlo 1998) lakes (del Hoyo et al. 1996, Snow and Perrins 1998), pools, ponds, reservoirs, barrages, gravel-pits, canals, drainage ditches, dykes, oxbow lakes (del Hoyo et al. 1996, Snow and Perrins 1998, Taylor and van Perlo 1998), fish ponds (Musil 2006), creeks (del Hoyo et al. 1996, Taylor and van Perlo 1998), rivers (del Hoyo et al. 1996) and river deltas (Taylor and van Perlo 1998), as well as open marshes (del Hoyo et al. 1996, Taylor and van Perlo 1998), freshwater meadows (Taylor and van Perlo 1998), flood-lands (del Hoyo et al. 1996, Snow and Perrins 1998, Taylor and van Perlo 1998), freshwater and saline lagoons (Urban et al. 1986), salt-pans, clay-pans (del Hoyo et al. 1996, Taylor and van Perlo 1998) and sewage ponds (Taylor and van Perlo 1998). It frequently exploits temporary pools and seasonally inundated marshes when breeding (Africa) (Urban et al. 1986), and may extend to quiet estuaries or inshore waters in the winter (del Hoyo et al. 1996). It generally avoids closely overgrown, narrowly confined and very shallow waters, and those overshadowed by trees or cliffs (Taylor and van Perlo 1998). If solitary the species roosts at sunset on small islets, mudbanks, sandbanks, rocks in water, floating mats of vegetation, floating logs, or branches of trees over water, preferring to roost on open water, in shore vegetation or in meadows adjacent to water if in flocks (Taylor and van Perlo 1998)."
Eurasian curlew,Eurasian curlew,Numenius arquata,Hannah,Yes,partWorld,11,NT,"The species breeds on upland moors, peat bogs, swampy and dry heathlands, fens, open grassy or boggy areas in forests, damp grasslands, meadows (del HoyoŒæet al.Œæ1996), non-intensive farmland in river valleysŒæ(HaymanŒæet al.Œæ1986), dune valleys and coastal marshlands (del HoyoŒæet al.Œæ1996)ŒæNon-breedingŒæDuring the winter the species frequents muddy coasts, bays and estuaries (del HoyoŒæet al.Œæ1996)Œæwith tidal mudflats and sandflats (Snow and Perrins 1998), rocky and sandy beaches with many pools (Johnsgard 1981,ŒæSnow and Perrins 1998), mangroves, saltmarshes (Snow and Perrins 1998), coastal meadows (Johnsgard 1981) and muddy shores of coastal lagoons (Johnsgard 1981), inland lakes and rivers (del HoyoŒæet al.Œæ1996). It also utilises wet grassland and arable fields during migration (del HoyoŒæet al.Œæ1996)."
Eurasian golden plover,Eurasian golden plover,Pluvialis apricaria,Hannah,Yes,partWorld,13,LC,"The species breeds on humid moss, lichen and hummock tundra (del HoyoŒæet al.Œæ1996), low-lying marshes in moss tundra (Johnsgard 1981), shrub tundra, open bogs in forest, peatlands, alpine tundra (del HoyoŒæet al.Œæ1996), highland bogs , moors (Johnsgard 1981), and swampy highland heaths with high abundances of sphagnum moss and heather (Johnsgard 1981, del HoyoŒæet al.Œæ1996). It shows a preference for nesting on short vegetation less than 15 cm tall (Ratcliffe 1977).ŒæNon-breedingŒæWhen on passage and in its winter quarters (del HoyoŒæet al.Œæ1996) the species frequents freshwater wetlands (UrbanŒæet al.Œæ1986), moist grasslands (UrbanŒæet al.Œæ1986), pastures (del HoyoŒæet al.Œæ1996), agricultural land (e.g. stubble, ploughed or fallow fields) (UrbanŒæet al.Œæ1986, del HoyoŒæet al.Œæ1996) and highland steppe (UrbanŒæet al.Œæ1986), also foraging on tidal shores, coastal rocky outcrops (Johnsgard 1981), intertidal flats (del HoyoŒæet al.Œæ1996) and saltmarshes (UrbanŒæet al.Œæ1986, del HoyoŒæet al.Œæ1996) in shallow bays and estuaries (del HoyoŒæet al.Œæ1996)."
Eurasian golden-oriole / Golden oriole,Eurasian golden-oriole / Golden oriole,Oriolus oriolus,Hannah,Yes,partWorld,14,LC,"In western Europe the species is usually found in semi-open, mixed broadleaf woodlands and plantations, riverine forests with tall willows (Salix) and poplars (Populus), forested steppes, groves, copses, orchards, parks, large gardens, windbreaks, avenue trees, and other tree clumps in cultivated areas. It also occurs in larger and more continuous deciduous, coniferous or mixed forests in eastern Europe. In Asia it is found in floodplain woods and groves, riverine vegetation, open deciduous woods, village plantations, taiga edges and oases, to 2,150 m. In the African non-breeding quarters, it uses semi-arid to humid deciduous woodlands, e.g. miombo (Brachystegia) and mopane (Colophospermum), forest edges, tall closed-canopy gallery forest, riverine acacias (Acacia), forest-savanna mosaics, tree savannas, exotic plantations, windbreaks, orchards and gardens, up to 1,500 m (Walther and Jones 2008)."
Eurasian jackdaw / Jackdaw,Eurasian jackdaw / Jackdaw,Corvus monedula,Hannah,Yes,partWorld,6,LC,"This species inhabits a great variety of open country, preferably with scattered trees. It favours mixed farmland, parks and gardens, churchyards, wooded steppe, quarries and coastal cliffs (Madge and de Juana 2014). Across Europe it is only absent from high mountain plateaux, tundra, extensive wetland or afforested areas and a few small islands (Hagemeijer and Blair 1997)."
Eurasian otter / European river otter,Eurasian otter / European river otter,Lutra lutra,Hannah,Yes,partWorld,6,NT,"The Eurasian Otter lives in a wide variety of aquatic habitats, including highland and lowland lakes, rivers, streams, marshes, swamp forests and coastal areas independent of their size, origin or latitude (Mason and Macdonald 1986). In Europe they are found in the brackish waters from the sea level up to 1,000 m in the Alps (Ruiz-Olmo and Gosalbez 1997) and above 3,500 m in the Himalayas (Prater 1971) or 4,120 m in Tibet (Mason and Macdonald 1986). In the Indian sub-continent, Eurasian Otters occur in cold hill and mountain streams. During summer (April - June) in the Himalayas they may ascend up to 3,660 m. These upward movements probably coincide with the upward migration of the carp and other fish for spawning. With the advent of winter the otters come down to lower altitudes (Prater 1971). In a study conducted in Thailand in Huai Kha Khaeng where the Eurasian, Smooth-coated and Small-clawed Otters live sympatrically, KruukŒæet al. (1994) found that the Eurasian Otters used rapidly flowing upper parts of the river. In Sri Lanka the Eurasian Otter was living in the headwaters of all the five river systems but not in the estuaries (de Silva 1996)."
Eurasian oystercatcher,Eurasian oystercatcher,Haematopus ostralegus,Hannah,Yes,World,8,NT,"The species breeds on coastal saltmarshes, sand and shingle beaches, dunes, cliff-tops with short grass and occasionally rocky shores, as well as inland along the shores of lakes, reservoirs and rivers or on agricultural grass and cereal fields, often some distance from water (HaymanŒæet al.Œæ1986,Œædel HoyoŒæet al.Œæ1996).ŒæOutside of the breeding season the species is chiefly coastal, frequenting estuarine mudflats, saltmarshes and sandy and rocky shores (del HoyoŒæet al.Œæ1996)."
Eurasian perch,Eurasian perch,Perca fluviatilis,John,Yes,partWorld,4,LC,"A very wide range of habitats from estuarine lagoons, lakes of all types to medium sized streams.  Feeding larvae are positively phototactic, live in open water and feed on pelagic organisms. They may be widely distributed by currents During first summer, many juveniles come near shores to feed on benthic prey. Often becomes piscivorous at about 120 mm SL. Stocks with different life-histories may co-occur in some lakes (littoral, benthic feeding, pelagic zooplanktivorous), sometimes with different spawning sites and times."
Eurasian red squirrel,Eurasian red squirrel,Sciurus vulgaris,John,Yes,partWorld,5,LC,"It is most abundant in large tracts of coniferous forest and also occurs in deciduous woods, mixed forest, parks, gardens, and small stands of conifers. It is found in lowland to subalpine forests."
Eurasian skylark,Eurasian skylark,Alauda arvensis,John,Yes,partWorld,8,LC,"This species is found in most open habitats and has a strong association with farmland throughout its range, but it also occurs on heathland and moorland, meadows, grassland, steppe, edges of marshes, dunes and even in extensive forest clearings. It generally avoids wooded areas and xeric habitats, with taiga representing a barrier in the north of Eurasia and deserts and arid steppes a barrier in the south.ŒæBreeding occurs from late March or early April to August and September in most of the range."
Eurasian sparrowhawk / Northern sparrowhawk,Eurasian sparrowhawk / Northern sparrowhawk,Accipiter nisus,John,Yes,partWorld,2,LC,"It mainly inhabits forest, although preferring this to be interspersed with open areas (del HoyoŒæet al.Œæ1994).Œæ"
Eurasian thick-knee / Stone curlew,Eurasian thick-knee / Stone curlew,Burhinus oedicnemus,John,Yes,partWorld,5,LC,"ŒæThe species inhabits lowland heath, semi-natural dry grassland, infertile agricultural grassland, steppe on poor soil, desert and extensive sand-dunes (Tucker and Heath 1994). It breeds on open, bare ground or areas with little vegetation (BattenŒæet al. 1990), and has adapted to arable land but only where crops are short or have an open structure during the breeding season, such as maize, carrots, sugar beet and sunflowers (Green 1988); intensively grown cereals are normally too tall and dense in spring to be used (Tucker and Heath 1994). Communal daytime roosts in autumn and winter in Spain occupy traditional sites which have some cover (e.g. shrubland, gravel pits, vineyards) and include both local birds and winter visitors (Barros 1995)."
Eurasian tree-creeper,Eurasian tree-creeper,Certhia familiaris,John,Yes,partWorld,3,LC,"inhabits forest and woodland, generally requiring well-grown trees with many cracks and crevices in the bark for foraging, roosting and nesting. It tends to favour older stands of spruce (Picea), but habitat preferences are complex and apparently affected by presence or absence of Certhia brachydactyla"
