"","X","species","biome","system","Country.list","Class","lengthyear","Decimal.Latitude","Decimal.Longitude","id","n","intercept","slope","intercept_se","slope_se","intercept_p","slope_p","Red.List.status"
"968",968,"Aythya ferina","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",9,37,-6.41667,6641,8,275.922772144358,-0.137929530567227,102.000564089328,0.0509111351477922,0.0268606545951883,0.0266902511207821,"VU"
"969",969,"Aythya ferina","Temperate coastal rivers","Freshwater","Turkey","Aves",35,40.15,28.58333,7116,10,22.6375937021294,-0.0115000643665205,35.8332077294397,0.0180123481652384,0.541722760393988,0.537524442183423,"VU"
"970",970,"Aythya ferina","Polar freshwaters","Freshwater","Denmark, Norway, Sweden, Germany, Poland","Aves",28,56,18,1232,27,-43.1062449666884,0.0216378061095829,20.0004590071412,0.0100605039669903,0.0402188949673575,0.040605545649131,"VU"
"971",971,"Aythya ferina","Temperate floodplain rivers and wetlands","Freshwater","United Kingdom","Aves",30,54,-4,5148,29,71.7474550934038,-0.0361590258428365,11.3730416255334,0.00571791183279504,6.85627008861192e-07,6.57761418568524e-07,"VU"
"972",972,"Aythya ferina","Temperate coastal rivers","Freshwater","Turkey","Aves",26,41.7,35.63333,7129,6,-79.9269964009116,0.0399896685078543,44.485240697985,0.0224358853396614,0.12250962316625,0.12496121338802,"VU"
"973",973,"Aythya ferina","Temperate upland rivers","Freshwater","Austria, Czech Republic, Estonia, Hungary, Poland","Aves",28,48.76972,13.83417,1235,27,-30.3383290882415,0.0151294819553957,17.9312875943431,0.00901968249387287,0.102172486931276,0.105008329835474,"VU"
"974",974,"Aythya ferina","Temperate floodplain rivers and wetlands","Freshwater","France, United Kingdom, Norway, Germany, Iceland","Aves",28,51.79,2.76167,1236,27,27.9548070430306,-0.0140938712715004,18.3727765139299,0.00924175744851763,0.139752283737148,0.138883258056648,"VU"
"975",975,"Aythya ferina","Temperate broadleaf and mixed forests","Terrestrial","Spain","Aves",36,40.71028,0.84417,7191,33,26.5383810920401,-0.0135255245788465,16.5241316176938,0.0083019105882297,0.117793823523987,0.112779809254243,"VU"
"976",976,"Aythya ferina","Temperate coastal rivers","Freshwater","Ukraine","Aves",15,45.9,33.51667,7341,14,-44.0955882352941,0.0220588235294118,66.244525528343,0.0332802551536856,0.516453533453625,0.51821025820797,"VU"
"977",977,"Aythya ferina","Temperate coastal rivers","Freshwater","France","Aves",30,43.56667,4.56667,7391,29,14.0662910943046,-0.00723877141534186,22.195385109664,0.0111814407013115,0.53121218419158,0.522470750445711,"VU"
"978",978,"Aythya ferina","Temperate coastal rivers","Freshwater","Spain, Morocco, Algeria, Tunisia, France","Aves",9,39.82278,5.97639,7165,8,65.4348138072759,-0.0327643100081033,125.981503879249,0.0631327353417257,0.617541950279996,0.617825230488154,"VU"
"979",979,"Aythya fuligula","Temperate coastal rivers","Freshwater","France","Aves",30,43.56667,4.56667,7392,29,53.0182584269663,-0.0268122508155129,19.8704525052974,0.0100102019090207,0.0123522698829999,0.0120531602599183,"LC"
"980",980,"Aythya fuligula","Polar freshwaters","Freshwater","Denmark, Norway, Sweden, Germany, Poland","Aves",28,56,18,1241,27,-68.031424143682,0.0342788741885709,15.4759760662146,0.00778462727038453,0.000154208983872889,0.000151156737278088,"LC"
"981",981,"Aythya fuligula","Temperate floodplain rivers and wetlands","Freshwater","Czech Republic","Aves",12,49.75,15,5301,11,314.204295704292,-0.157592407592406,54.8286546795406,0.0274967693838254,0.000132078449733449,0.000131952437405821,"LC"
"982",982,"Aythya fuligula","Temperate floodplain rivers and wetlands","Freshwater","Spain","Aves",26,39.79194,3.10056,6801,25,23.6204404648847,-0.0119793786460452,26.7131992880725,0.0133631798462029,0.385000587787078,0.378565668542874,"LC"
"983",983,"Aythya fuligula","Polar freshwaters","Freshwater","Norway","Aves",24,60.77944,11.08972,2494,18,96.4411574691966,-0.0485502620940443,32.435857434364,0.0163218642041559,0.00814464735826866,0.00812230458487266,"LC"
"984",984,"Aythya fuligula","Polar freshwaters","Freshwater","Norway","Aves",12,63.45,10.95,2493,11,-208.59991859991,0.1045991045991,88.7708420366958,0.0445412371274245,0.0384961319730308,0.0385984532776129,"LC"
"985",985,"Aythya fuligula","Temperate coastal rivers","Freshwater","France","Aves",24,42.6,9.48333,6663,21,25.2959706007967,-0.0128268898828888,28.0197955460774,0.0141098084720106,0.376877025914358,0.373625713502058,"LC"
"986",986,"Aythya fuligula","Temperate upland rivers","Freshwater","Austria, Czech Republic, Estonia, Hungary, Poland","Aves",28,48.76972,13.83417,1243,27,-82.4612803249467,0.0415660336775189,17.3065902013775,0.00870545117558889,5.73200914896112e-05,5.58029091277739e-05,"LC"
"987",987,"Aythya fuligula","Polar freshwaters","Freshwater","Finland","Aves",8,64.83333,25.4,1239,6,-174.769249375157,0.088419468408184,201.523788948478,0.102030807601363,0.419138392951388,0.419464051533904,"LC"
"988",988,"Aythya fuligula","Temperate coastal rivers","Freshwater","Turkey","Aves",35,40.15,28.58333,7117,10,42.0363422371376,-0.0214147192299331,28.3966236371702,0.0142741859878126,0.169588115383697,0.164445905000276,"LC"
"989",989,"Aythya fuligula","Polar freshwaters","Freshwater","Sweden","Aves",23,62,15,1240,22,73.7579249011865,-0.0372826086956525,30.941424814475,0.0155757548263163,0.0261920019861771,0.0256446994393041,"LC"
"990",990,"Aythya fuligula","Polar freshwaters","Freshwater","Finland","Aves",10,64.83333,25.4,1238,7,-284.128464128464,0.143641543641544,68.3127618830138,0.034565353768856,0.00424584113941712,0.00426486508130179,"LC"
"991",991,"Aythya fuligula","Temperate broadleaf and mixed forests","Terrestrial","Spain","Aves",36,40.71028,0.84417,7192,33,19.6381142917673,-0.0101643098487967,13.990738069522,0.00702910502069236,0.16976358630141,0.157599707197753,"LC"
"992",992,"Aythya fuligula","Temperate coastal rivers","Freshwater","Morocco","Aves",17,30.21667,-9.61667,7026,16,75.2865177078592,-0.0381212950296402,41.3421107978395,0.0207592119054256,0.0873497304329988,0.0849561939258985,"LC"
"993",993,"Aythya fuligula","Polar freshwaters","Freshwater","Norway","Aves",9,69.14694,29.21528,2492,8,97.6930596285645,-0.0490713587487886,136.065900772793,0.0680158762935179,0.493198516724768,0.491165756244532,"LC"
"994",994,"Aythya fuligula","Temperate floodplain rivers and wetlands","Freshwater","France, United Kingdom, Norway, Germany, Iceland","Aves",28,51.79,2.76167,1244,27,-25.2002314767905,0.0127316396427958,26.8424039119966,0.0135020956740932,0.356145572228956,0.354074103994512,"LC"
"995",995,"Aythya fuligula","Temperate floodplain rivers and wetlands","Freshwater","United Kingdom","Aves",7,51.16667,-2.86667,5187,6,-582.022108843535,0.290816326530611,108.415055993331,0.0541939439548016,0.00171429589497396,0.00171795411479997,"LC"
"996",996,"Aythya marila","Temperate floodplain rivers and wetlands","Freshwater","Poland","Aves",21,54.755,17.215,12224,20,-20.3113147103059,0.00987936615193434,34.8239390678648,0.0174336738034582,0.566239794304674,0.57723452939707,"LC"
"997",997,"Aythya marila","Polar freshwaters","Freshwater","Finland","Aves",22,63.43333,21.06667,1605,12,175.144073438713,-0.0886022954703265,30.1065276331899,0.0152057847842526,8.24523449292319e-05,8.12523489884602e-05,"LC"
"998",998,"Aythya marila","Unknown","Marine","Korea, Republic Of","Aves",12,34.564058,126.556531,12468,11,-25.3621485723091,0.0124450626845217,82.6934081321361,0.0412229632519623,0.764798576198869,0.768362244602625,"LC"
"999",999,"Aythya marila","Temperate coastal rivers","Freshwater","Canada","Aves",11,49.4825,-124.067222,12191,10,201.818181818201,-0.100713012477728,98.9672415638787,0.0493478409133524,0.0687344025304215,0.0685464120797661,"LC"
"1000",1000,"Aythya marila","Polar freshwaters","Freshwater","Canada","Aves",34,60,-98,4213,33,-7.41472235953202,0.0034684462020102,13.4491156820482,0.00673457370732796,0.585130528931595,0.609971228394064,"LC"
"1001",1001,"Aythya marila","Polar freshwaters","Freshwater","Sweden","Aves",35,55.666667,13.083333,12212,34,-61.5236983169022,0.0306497898730908,14.6368805421822,0.00736066422453759,0.000180121383409347,0.000201876570378659,"LC"
"1002",1002,"Aythya marila","Temperate coastal rivers","Freshwater","Canada","Aves",32,53.003392,-60.79843,14630,31,-70.3060062237544,0.0349746215897768,8.43208239587327,0.00422444210947202,2.0336164026631e-09,2.3708446312184e-09,"LC"
"1003",1003,"Aythya marila","Temperate upland rivers","Freshwater","Austria","Aves",25,47.357432,14.589415,12193,24,4.49999999999764,-0.00256410256410137,29.4057333958424,0.0148325462661813,0.879652901303602,0.864203227439886,"LC"
"1004",1004,"Aythya marila","Polar freshwaters","Freshwater","Finland","Aves",10,64.83333,25.4,5971,7,-247.319444444445,0.125,152.233101214762,0.0770279352462651,0.148273692067316,0.148664380904201,"LC"
"1005",1005,"Aythya marila","Temperate floodplain rivers and wetlands","Freshwater","Ukraine","Aves",19,46.5333,35.3167,12198,13,-19.0685775597748,0.00916998773758209,60.7085405620254,0.0303137577535973,0.758428436100078,0.767054784746083,"LC"
"1006",1006,"Aythya marila","Temperate coastal rivers","Freshwater","United Kingdom","Aves",5,57.75,-3.5,12195,4,-570.422143836972,0.285008818342158,246.637391617631,0.123287828914142,0.0817806989933718,0.0818760845360772,"LC"
"1007",1007,"Aythya marila","Polar freshwaters","Freshwater","Sweden","Aves",21,57,12,12201,20,-38.8345481736977,0.0191810453057271,42.3479011533825,0.0212003442094935,0.370050277563918,0.376367166964296,"LC"
"1008",1008,"Aythya marila","Temperate floodplain rivers and wetlands","Freshwater","Germany","Aves",21,54.510538,10.37997,12227,20,-5.11852849084787,0.00237598538559182,40.5131299229232,0.0202818150599489,0.900722361072886,0.907910785334551,"LC"
"1009",1009,"Aythya marila","Polar freshwaters","Freshwater","Sweden","Aves",34,57.5,18.5,12216,33,-28.357758904495,0.0139743611285883,18.3383187139196,0.00922438736102532,0.131553516293109,0.139309157268544,"LC"
"1010",1010,"Aythya marila","Polar freshwaters","Freshwater","Sweden","Aves",35,56.10881,15.60997,12219,34,-37.4645622810968,0.0184698531244398,10.7674023199596,0.00541476257999941,0.00139765156386703,0.0016851976431093,"LC"
"1011",1011,"Aythya marila","Temperate coastal rivers","Freshwater","Japan","Aves",13,36.026889,138.536682,12367,12,-105.106137921919,0.0525976809931043,64.0895853144483,0.032004721826576,0.126939822429781,0.12621803767275,"LC"
"1012",1012,"Aythya marila","Temperate upland rivers","Freshwater","Slovakia","Aves",19,48.666667,19.5,12651,18,-157.862398263705,0.0787303309820967,33.912384840118,0.0169518840105444,0.000196953753969907,0.000201619150352482,"LC"
"1013",1013,"Aythya marila","Temperate floodplain rivers and wetlands","Freshwater","Germany","Aves",21,54.333333,12.7,12223,20,62.6978041005739,-0.0315379035880887,35.5730338412169,0.0178086880688188,0.093259959258714,0.0918130387519144,"LC"
"1014",1014,"Aythya marila","Temperate coastal rivers","Freshwater","Estonia","Aves",15,59.433333,24.75,12226,14,-79.6320088853258,0.0394127668103016,49.8631412952528,0.0249252731382208,0.132581885532896,0.136146288788129,"LC"
"1015",1015,"Aythya marila","Polar freshwaters","Freshwater","Canada","Aves",28,63.748366,-136.036766,14631,27,20.365444261996,-0.0104664598917472,18.6908118539196,0.00934532415573117,0.285520573622433,0.272591682728358,"LC"
"1016",1016,"Aythya valisineria","Temperate upland rivers","Freshwater","Canada","Aves",44,55.410147,-105.758445,4214,43,-29.2228493940165,0.0145393677430291,10.1103944766328,0.00507539136902244,0.00600890578711925,0.00643234692639212,"LC"
"1017",1017,"Aythya valisineria","Large lakes","Freshwater","Canada","Aves",44,55.443204,-97.404876,14634,43,-84.5240620423306,0.0422961656120829,3.21765023411141,0.00161525193349142,4.11487921929172e-28,4.68075145312571e-28,"LC"
"1018",1018,"Aythya valisineria","Xeric freshwaters and endorheic basins","Freshwater","Mexico","Aves",30,23,-102,1030,19,83.4235791914683,-0.042166897343949,25.3972976319058,0.0128175559944878,0.00389697209573357,0.00385305197482117,"LC"
"1019",1019,"Aythya valisineria","Temperate upland rivers","Freshwater","United States, Canada","Aves",41,48.99722,-97.22917,2897,40,-2.37048123931288,0.000972368527672039,8.67227329503381,0.00435675082289642,0.785998106457758,0.82452613979328,"LC"
"1020",1020,"Aythya valisineria","Temperate upland rivers","Freshwater","United States, Canada","Aves",32,49.015,-106.91889,1029,31,-34.8442513368986,0.0174465240641712,18.6464408207032,0.00938883509976971,0.0711425331227833,0.0726569303082984,"LC"
"1021",1021,"Aythya valisineria","Temperate floodplain rivers and wetlands","Freshwater","Canada","Aves",42,55.142948,-114.807219,14633,41,-30.5558695215239,0.015088280088694,11.8201549535576,0.00593667773004323,0.0133913668254939,0.0149139897626091,"LC"
"1022",1022,"Aythya valisineria","Temperate coastal rivers","Freshwater","Canada","Aves",44,60.108611,-113.6425,14632,43,-34.6677567254643,0.0172697167163571,9.95343015948122,0.00499659569568282,0.00115232542796978,0.00124514929861415,"LC"
"1023",1023,"Baeolophus bicolor","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",44,52.941847,-73.107078,18060,43,-79.0149904845559,0.0394175872436743,5.96736817257852,0.00299560308837437,9.05016780249492e-17,1.12461870644314e-16,"LC"
"1024",1024,"Baeolophus bicolor","Temperate broadleaf and mixed forests","Terrestrial","United States, Canada","Aves",35,48.99722,-97.22917,3076,34,-81.8010742674841,0.0410970221709446,8.71403738660345,0.00438436143751382,5.74154615095342e-11,5.95360498322452e-11,"LC"
"1025",1025,"Baeolophus inornatus","Temperate broadleaf and mixed forests","Terrestrial","United States, Canada","Aves",41,48.99722,-97.22917,3074,40,85.1439846704799,-0.0428139082455744,4.1073683573955,0.00206344747936726,5.26107425701997e-23,5.08582994250778e-23,"LC"
"1026",1026,"Baeolophus ridgwayi","Temperate broadleaf and mixed forests","Terrestrial","United States, Canada","Aves",41,48.99722,-97.22917,3075,40,-5.76285748662433,0.00279187630293727,13.0736174765979,0.00656788500104328,0.661730694605212,0.673056496792086,"LC"
"1027",1027,"Balaena mysticetus","Unknown","Marine","United States","Mammalia",10,75,-154,2187,7,-193.665299814548,0.0976406346589738,130.218495020007,0.0656562987336869,0.180549183370966,0.180571113850294,"LC"
"1028",1028,"Balaena mysticetus","Polar seas","Marine","United States","Mammalia",23,71.32306,-165.58333,2186,9,-151.323630570898,0.0761105582942218,36.1561232445942,0.0182070768230997,0.00235754273078918,0.0023751261406488,"LC"
"1029",1029,"Balaenoptera acutorostrata","Unknown","Marine","United States","Mammalia",14,57,-170,6420,4,-208.140664961646,0.104859335038368,52.5473181687459,0.0265076993673904,0.0166634915837995,0.0167363316543014,"LC"
"1030",1030,"Balaenoptera musculus","Unknown","Marine","Antarctica","Mammalia",12,-67,150,15070,5,-159.494897959181,0.0799319727891145,130.411381093215,0.0653689819359512,0.275818576030014,0.275899011729085,"EN"
"1031",1031,"Balaenoptera musculus","Unknown","Marine","Antarctica","Mammalia",12,-64,100,15073,5,-200.733302411862,0.100417439703148,110.073234453873,0.0552021128291002,0.127810141041692,0.128560143587421,"EN"
"1032",1032,"Balaenoptera musculus","Unknown","Marine","Canada","Mammalia",23,43.84,-58.93,12504,16,-100.484534255076,0.0499867056633883,40.4219641161471,0.0202198512505225,0.0243554309898802,0.02503605688129,"EN"
"1033",1033,"Balaenoptera musculus","Unknown","Marine","Canada","Mammalia",21,50.078295,-63.877945,12307,20,142.474857220537,-0.0715420182021229,33.3087242592625,0.0166751220306716,0.000367778249831216,0.000356823918749072,"EN"
"1034",1034,"Balaenoptera physalus","Unknown","Marine","France, Italy","Mammalia",9,43.17417,8.31111,10698,8,-5.15607585926459,0.00241509050233923,137.255452880761,0.0688169017571211,0.970954566291764,0.972864296520242,"EN"
"1035",1035,"Balaenoptera physalus","Unknown","Marine","United States","Mammalia",14,57,-170,6415,4,-229.66869958687,0.11567971670274,54.0191567444216,0.0272501740709718,0.01314112458921,0.0132096295976953,"EN"
"1036",1036,"Balaenoptera physalus","Unknown","Marine","Canada","Mammalia",23,43.84,-58.93,12305,16,104.054152264469,-0.0522910573429052,35.4648769614825,0.0177402200130301,0.00972887573015218,0.00945765182469673,"EN"
"1037",1037,"Balearica regulorum","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Uganda","Aves",10,-1.25,30,4709,5,-77.379170785964,0.0385874938210591,147.822122988475,0.0737056366481325,0.623016158893734,0.622968409145183,"EN"
"1038",1038,"Balearica regulorum","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Uganda","Aves",11,-0.41667,30.75,8210,7,-175.496104214054,0.0874715557219708,106.801634386443,0.0532616686532165,0.144343246840257,0.144530954540387,"EN"
"1039",1039,"Balearica regulorum","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Uganda","Aves",7,-0.5,31.75,8209,5,90.1560699102651,-0.0449220595181935,226.651707887563,0.112954633427001,0.707211796928627,0.707262691500457,"EN"
"1040",1040,"Balearica regulorum","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Uganda","Aves",27,-0.45,31.36667,4708,11,63.3055244739406,-0.0317243878683549,40.8890017006669,0.0204106192793847,0.14984006159786,0.148393245040994,"EN"
"1041",1041,"Bartramia longicauda","Boreal forests/taiga","Terrestrial","Canada","Aves",42,55,-115,3708,41,-56.5349482308168,0.0283403658883453,7.38201692561111,0.0037076210639597,1.96918960305614e-09,2.06377705325009e-09,"LC"
"1042",1042,"Bartramia longicauda","Temperate grasslands savannas and shrublands","Terrestrial","United States, Canada","Aves",41,48.99722,-97.22917,2948,40,-85.3244287948776,0.0427238105060003,5.70420464534825,0.00286566133666728,5.61747259968033e-18,6.2857242116482e-18,"LC"
"1043",1043,"Bartramia longicauda","Boreal forests/taiga","Terrestrial","Canada","Aves",44,52.941847,-73.107078,13802,43,56.5940490360881,-0.0285384580437055,6.0213197864683,0.00302268665629191,5.47322523713603e-12,4.7964803923462e-12,"LC"
"1044",1044,"Bartramia longicauda","Boreal forests/taiga","Terrestrial","Canada","Aves",44,55.410147,-105.758445,13803,43,-86.991674966218,0.0435448143364414,3.66894687811466,0.0018418016588396,2.55306062162088e-26,2.86268822243134e-26,"LC"
"1045",1045,"Bartramia longicauda","Boreal forests/taiga","Terrestrial","Canada","Aves",44,60.108611,-113.6425,13543,43,48.6281533655116,-0.0245908497711506,7.11407935808023,0.00357124907994355,2.22811208764367e-08,1.88356330496503e-08,"LC"
"1046",1046,"Bartramia longicauda","Boreal forests/taiga","Terrestrial","Canada","Aves",44,55,-97,3709,43,76.3503614510015,-0.0385199219231442,4.7292615763551,0.0023740768416067,7.29823449009115e-20,6.06273828271934e-20,"LC"
"1047",1047,"Bartramia longicauda","Boreal forests/taiga","Terrestrial","Canada","Aves",44,50,-86,3710,43,88.2185901451681,-0.0443829500197554,2.35240375132019,0.00118090048054019,1.75068682571305e-34,1.59715929190118e-34,"LC"
"1048",1048,"Bartramia longicauda","Tundra","Terrestrial","Canada","Aves",41,63.748366,-136.036766,13804,40,88.5933348801308,-0.0446376878700382,4.98383198836802,0.0024999949170266,1.36517143355913e-20,1.1657470405614e-20,"LC"
"1049",1049,"Batagur baska","Tropical and subtropical floodplain rivers and wetland complexes","Freshwater","India","Reptilia",6,21.69972,88.88306,811,5,227.257142857116,-0.114285714285701,244.012652733159,0.122557774797294,0.394429743806041,0.39387970597651,"CR"
"1050",1050,"Bathyraja interrupta","Unknown","Marine","Canada","Elasmobranchii",19,53.166667,-130.833333,17852,9,61.5444724926853,-0.0310453980847046,64.0063429977181,0.0320934761104912,0.361402230592304,0.358646714196007,"LC"
"1051",1051,"Bathyraja parmifera","Unknown","Marine","United States","Elasmobranchii",11,56,-168,8284,10,-65.1195944638028,0.0324094547958814,113.755475070505,0.0567499657683072,0.579657129806274,0.580544096641042,"LC"
"1052",1052,"Bathyraja spinicauda","Unknown","Marine","Canada","Elasmobranchii",24,50.695322,-52.121122,18074,22,-3.86210340073964,0.00186698796226915,39.6917268392355,0.0200217622724225,0.923367214821118,0.926550591962939,"NT"
"1053",1053,"Beatragus hunteri","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Kenya","Mammalia",23,1,38,9906,9,209.340603386311,-0.105541286396134,37.3442837301232,0.0188346928168133,0.00033184603327312,0.000332754105412178,"CR"
"1054",1054,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",32,60,-113,4398,31,92.6187092520697,-0.0468097575269212,9.73621803468888,0.00489990248828995,1.04198492508143e-10,9.43812912715937e-11,"NT"
"1055",1055,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",18,59,-112,4353,15,59.5434113094968,-0.029993334134575,40.7046713652928,0.0204539213369304,0.164154860257956,0.163193168029047,"NT"
"1056",1056,"Bison bison","Temperate coniferous forests","Terrestrial","United States","Mammalia",27,44.66667,-110.46667,3410,26,-127.423029115241,0.0641788936560896,11.5819108043379,0.00583907978946194,2.80013515356084e-11,2.85911978394571e-11,"NT"
"1057",1057,"Bison bison","Temperate coniferous forests","Terrestrial","United States","Mammalia",27,44.66667,-110.46667,4589,26,-138.773211353504,0.0699272812573292,11.066019119487,0.00557899034813795,1.56903388709056e-12,1.58723309394302e-12,"NT"
"1058",1058,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",28,57.05,-122.86667,4325,5,-149.516221110336,0.0751956226720178,7.11461616234748,0.00358801917690949,4.52002712406045e-06,4.5822470762292e-06,"NT"
"1059",1059,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",17,53.733333,-106.65,18019,16,-11.3776373646666,0.00557762880763546,64.1839794965179,0.032019837622233,0.861524100053447,0.863898836404589,"NT"
"1060",1060,"Bison bison","Temperate coniferous forests","Terrestrial","United States","Mammalia",20,44.76667,-110.53333,6394,18,-89.861766783831,0.0448417243351481,29.3408279504984,0.0147170743825874,0.00670425865065853,0.00693892832754666,"NT"
"1061",1061,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",18,60,-113,4355,13,-12.5329469117145,0.00614742325296465,60.9450671186318,0.0306224696974117,0.840254810739492,0.844001690143351,"NT"
"1062",1062,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",18,58,-113,4354,15,-79.3822788171647,0.0398769219280997,41.4776747940169,0.0208423522170721,0.074915986081536,0.0749968655356886,"NT"
"1063",1063,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",18,60,-114,4356,14,-175.386189253952,0.0880740620727496,47.7028205629866,0.0239644027788907,0.00248987761695565,0.00249698165425036,"NT"
"1064",1064,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",11,53.2,-105.75,4476,10,-338.069976690004,0.168904428904443,53.9586457149291,0.0269725395548023,9.31751665984908e-05,9.35709779954998e-05,"NT"
"1065",1065,"Bison bison","Boreal forests/taiga","Terrestrial","Canada","Mammalia",18,58,-112,4351,15,231.633441792533,-0.116402848343585,17.5627239064879,0.00882519281440088,1.1764290948278e-09,1.17530108528719e-09,"NT"
"1066",1066,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Ukraine","Mammalia",33,49.22222,31.77333,10723,13,-30.9304302880469,0.0154902094343627,28.9284568544006,0.0144901362848273,0.304429337596665,0.304510386180655,"VU"
"1067",1067,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Russian Federation","Mammalia",6,53.7775,35.72278,10719,5,29.057142857153,-0.0142857142857193,268.254583619045,0.133859506001376,0.917954992328514,0.919159519092029,"VU"
"1068",1068,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Poland","Mammalia",38,52.66667,23.83333,10734,37,-76.173561909583,0.0381136133603245,7.09458471884052,0.00356685326532611,6.37782569195819e-13,7.30142021883491e-13,"VU"
"1069",1069,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Poland","Mammalia",10,54.12278,22.04361,10727,9,-240.006818181778,0.119886363636344,96.9356198679111,0.0484193301401541,0.0352252806732877,0.0352217148165007,"VU"
"1070",1070,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Slovakia","Mammalia",30,49.08806,22.56694,505,17,-54.0900417412036,0.0269691548761312,27.8661063650794,0.0140081162504957,0.0690155569496621,0.0710952630055008,"VU"
"1071",1071,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Poland","Mammalia",10,53.46583,15.18194,10729,9,-276.346801346791,0.138047138047133,50.6728217344246,0.0253110681918122,0.000403797658465505,0.000403549929750856,"VU"
"1072",1072,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Poland","Mammalia",10,53.21778,23.24944,10728,9,-417.611416490445,0.20845665961943,44.9980748804883,0.0224765328398234,6.63690392169178e-06,6.67370231682463e-06,"VU"
"1073",1073,"Bison bonasus","Temperate coniferous forests","Terrestrial","Poland","Mammalia",9,49.33333,22,10720,8,-459.230005577241,0.228964491541177,30.1209772622326,0.015019170466299,3.39632914762553e-07,3.39869735115888e-07,"VU"
"1074",1074,"Bison bonasus","Temperate broadleaf and mixed forests","Terrestrial","Belarus","Mammalia",34,54.5,28.18333,10716,33,-119.288960289998,0.0600263634865711,6.63505258761467,0.0033324797718729,1.2917245648378e-18,1.22062561376717e-18,"VU"
"1075",1075,"Bitis gabonica","Tropical and subtropical dry broadleaf forests","Terrestrial","Nigeria","Reptilia",13,4.63333,7.91667,10403,12,317.429513343797,-0.158660387231815,49.7991279576172,0.0248808528378751,3.53501778036678e-05,3.52137119193341e-05,NA
"1076",1076,"Bitis nasicornis","Tropical and subtropical dry broadleaf forests","Terrestrial","Nigeria","Reptilia",12,4.63333,7.91667,10404,11,373.582417582422,-0.186813186813189,67.8203888466552,0.0338931885456683,0.00018389401385526,0.000182952305426155,NA
"1077",1077,"Blarina brevicauda","Temperate broadleaf and mixed forests","Terrestrial","Canada","Mammalia",6,45.57,-73.19,5821,4,83.8961845608061,-0.0425909494232603,341.583839571929,0.173114440436671,0.818071932346675,0.817769705256025,"LC"
"1078",1078,"Blarina brevicauda","Temperate broadleaf and mixed forests","Terrestrial","United States","Mammalia",20,40.16667,-79.26667,4892,19,-1.26437562437592,0.000559440559440706,39.0878348821951,0.0196519123900559,0.974532690010852,0.977586190389913,"LC"
"1079",1079,"Blarina brevicauda","Temperate broadleaf and mixed forests","Terrestrial","Canada","Mammalia",25,45.595278,-78.523333,4591,23,-27.28535952097,0.0133807891075333,21.1337988005512,0.0106612813881398,0.209503423998854,0.222051960641484,"LC"
"1080",1080,"Boiga irregularis","Tropical and subtropical grasslands savannas and shrublands","Terrestrial","Australia","Reptilia",10,-12.516667,131.333333,17703,8,-339.593572084484,0.169329660238752,70.6133094007939,0.0352343763642105,0.00133969827218703,0.00134551418499053,NA
"1081",1081,"Bombycilla cedrorum","Temperate broadleaf and mixed forests","Terrestrial","Canada","Aves",42,45.290147,-62.735984,13807,41,-65.521183576322,0.0327502598202967,8.1420453399578,0.00408934565042919,5.71261035906867e-10,6.45494622258818e-10,"LC"
"1082",1082,"Bombycilla cedrorum","Boreal forests/taiga","Terrestrial","Canada","Aves",44,60.108611,-113.6425,13544,43,-57.9700271076584,0.0290975724259083,8.97641344835683,0.00450613588281477,7.87893587600088e-08,7.89787131229418e-08,"LC"
"1083",1083,"Bombycilla cedrorum","Boreal forests/taiga","Terrestrial","Canada","Aves",44,55,-125,3712,43,-11.8544772423589,0.00586998570347326,11.8650566562034,0.00595622715661961,0.323331616425546,0.329881440594953,"LC"
"1084",1084,"Bombycilla cedrorum","Boreal forests/taiga","Terrestrial","Canada","Aves",44,50,-86,3716,43,-19.692756153411,0.00977569576603392,9.45575396023853,0.00474676355589419,0.043268976180261,0.0455390980005934,"LC"
"1085",1085,"Bombycilla cedrorum","Boreal forests/taiga","Terrestrial","Canada","Aves",44,54,-106,3718,43,-61.2596765385424,0.0307498424700694,5.54049400092561,0.00278131337975091,3.75203512401318e-14,3.76125192444566e-14,"LC"
