"","species"
"1001","Oncorhynchus mykiss"
"1002","Phalaropus lobatus"
"1003","Glyptemys insculpta"
"1004","Morone saxatilis"
"1005","Calidris minutilla"
"1006","Marmota vancouverensis"
"1007","Anaxyrus canorus"
"1008","Lithobates sylvaticus"
"1009","Rissa brevirostris"
"1010","Cerorhinca monocerata"
"1011","Haematopus ater"
"1012","Phalacrocorax urile"
"1013","Acipenser medirostris"
"1014","Equus hemionus"
"1015","Actitis hypoleucos"
"1016","Calidris pugnax"
"1017","Tringa glareola"
"1018","Melanitta nigra"
"1019","Asio otus"
"1020","Cygnus cygnus"
"1021","Tachybaptus ruficollis"
"1022","Vipera berus"
"1023","Epinephelus bruneus"
"1024","Plethodon jordani"
"1025","Arctocephalus australis"
"1026","Pluvialis fulva"
"1027","Kobus kob"
"1028","Damaliscus korrigum"
"1029","Pagophila eburnea"
"1030","Aspitrigla cuculus"
"1031","Chelidonichthys lucerna"
"1032","Alle alle"
"1033","Trichosurus vulpecula"
"1034","Odocoileus virginianus"
"1035","Vicugna vicugna"
"1036","Callorhinus ursinus"
"1037","Zalophus californianus"
"1038","Lepidopsetta polyxystra"
"1039","Sebastes pinniger"
"1040","Balaenoptera physalus"
"1041","Balaenoptera acutorostrata"
"1042","Phocoenoides dalli"
"1043","Apus apus"
"1044","Carduelis chloris"
"1045","Carduelis spinus"
"1046","Nucifraga caryocatactes"
"1047","Parus cristatus"
"1048","Regulus regulus"
"1049","Saxicola rubetra"
"1050","Turdus pilaris"
"1051","Jynx torquilla"
"1052","Dryocopus martius"
"1053","Ficedula parva"
"1054","Coccothraustes coccothraustes"
"1055","Leiopicus medius"
"1056","Milvus migrans"
"1057","Gobionotothen gibberifrons"
"1058","Pseudochaenichthys georgianus"
"1059","Phocarctos hookeri"
"1060","Furgaleus macki"
"1061","Euthynnus affinis"
"1062","Desmognathus aeneus"
"1063","Desmognathus monticola"
"1064","Desmognathus ochrophaeus"
"1065","Desmognathus quadramaculatus"
"1066","Plethodon glutinosus"
"1067","Galerella sanguinea"
"1068","Leptoptilos crumenifer"
"1069","Potamochoerus larvatus"
"1070","Malurus splendens"
"1071","Procapra gutturosa"
"1072","Dissostichus mawsoni"
"1073","Lampropeltis getula"
"1074","Copsychus sechellarum"
"1075","Pan paniscus"
"1076","Mustelus mustelus"
"1077","Larus audouinii"
"1078","Numenius phaeopus"
"1079","Micropogonias furnieri"
"1080","Chelydra serpentina"
"1081","Stenodus leucichthys"
"1082","Pseudacris regilla"
"1083","Agelaius xanthomus"
"1084","Anas wyvilliana"
"1085","Ixobrychus sinensis"
"1086","Todiramphus cinnamominus"
"1087","Fulica alai"
"1088","Lonchura atricapilla"
"1089","Ptilinopus roseicapilla"
"1090","Alopecoenas xanthonurus"
"1091","Hypotaenidia owstoni"
"1092","Corvus kubaryi"
"1093","Rhipidura rufifrons"
"1094","Myzomela rubratra"
"1095","Aplonis opaca"
"1096","Haliaeetus pelagicus"
"1097","Anthus petrosus"
"1098","Motacilla cinerea"
"1099","Abramis brama"
"1100","Thalassarche chrysostoma"
"1101","Thalassarche melanophris"
"1102","Anous stolidus"
"1103","Gygis alba"
"1104","Seriphus politus"
"1105","Streptopelia bitorquata"
"1106","Dicrurus macrocercus"
"1107","Rucervus eldii"
"1108","Pygoscelis antarcticus"
"1109","Eudorcas rufifrons"
"1110","Equus grevyi"
"1111","Odobenus rosmarus"
"1112","Delphinapterus leucas"
"1113","Coryphaenoides rupestris"
"1114","Agonus cataphractus"
"1115","Syngnathus rostellatus"
"1116","Sardinella brasiliensis"
"1117","Pomatomus saltatrix"
"1118","Setonix brachyurus"
"1119","Aquila audax"
"1120","Aviceda subcristata"
"1121","Climacteris picumnus"
"1122","Petroica phoenicea"
"1123","Pomatostomus temporalis"
"1124","Melithreptus lunatus"
"1125","Chasiempis sandwichensis"
"1126","Myadestes obscurus"
"1127","Hemignathus virens"
"1128","Vestiaria coccinea"
"1129","Himatione sanguinea"
"1130","Hemignathus munroi"
"1131","Oreomystis mana"
"1132","Loxops coccineus"
"1133","Pleurogrammus monopterygius"
"1134","Sebastes polyspinis"
"1135","Strix uralensis"
"1136","Surnia ulula"
"1137","Geronticus eremita"
"1138","Chlidonias hybrida"
"1139","Mugil cephalus"
"1140","Leiothrix lutea"
"1141","Zosterops japonicus"
"1142","Atractosteus spatula"
"1143","Helogale parvula"
"1144","Acanthiza uropygialis"
"1145","Oreoica gutturalis"
"1146","Melanodryas cucullata"
"1147","Pachycephala rufiventris"
"1148","Gerygone fusca"
"1149","Cacatua galerita"
"1150","Manorina melanocephala"
"1151","Strepera graculina"
"1152","Anthochaera carunculata"
"1153","Saiga borealis"
"1154","Hippoglossina oblonga"
"1155","Pteropus rodricensis"
"1156","Balaena mysticetus"
"1157","Macrourus berglax"
"1158","Alopias vulpinus"
"1159","Sebastes mentella"
"1160","Sebastes fasciatus"
"1161","Acanthurus coeruleus"
"1162","Acanthurus chirurgus"
"1163","Acanthurus bahianus"
"1164","Larus dominicanus"
"1165","Spheniscus demersus"
"1166","Hyla versicolor"
"1167","Terrapene ornata"
"1168","Ovis canadensis"
"1169","Dipodomys merriami"
"1170","Dipodomys ordii"
"1171","Dipodomys spectabilis"
"1172","Chaetodipus penicillatus"
"1173","Perognathus flavus"
"1174","Neotoma albigula"
"1175","Onychomys leucogaster"
"1176","Onychomys torridus"
"1177","Peromyscus eremicus"
"1178","Reithrodontomys megalotis"
"1179","Crenichthys nevadae"
"1180","Siren intermedia"
"1181","Geospiza conirostris"
"1182","Spirinchus thaleichthys"
"1183","Gypaetus barbatus"
"1184","Crex crex"
"1185","Patagonotothen guntheri"
"1186","Arctocephalus tropicalis"
"1187","Eudyptula minor"
"1188","Eudyptes chrysolophus"
"1189","Trachurus murphyi"
"1190","Priacanthus macracanthus"
"1191","Carcharhinus brachyurus"
"1192","Sphyrna mokarran"
"1193","Carcharhinus amboinensis"
"1194","Carcharias taurus"
"1195","Sphyrna zygaena"
"1196","Carcharhinus brevipinna"
"1197","Sardina pilchardus"
"1198","Acipenser transmontanus"
"1199","Antimora rostrata"
"1200","Crocodylus acutus"
"1201","Lates stappersii"
"1202","Phalaropus fulicarius"
"1203","Cetorhinus maximus"
"1204","Morus capensis"
"1205","Phalacrocorax capensis"
"1206","Neophema chrysogaster"
"1207","Anaxyrus terrestris"
"1208","Gastrophryne carolinensis"
"1209","Pseudacris crucifer"
"1210","Pseudacris nigrita"
"1211","Pseudacris ornata"
"1212","Lithobates clamitans"
"1213","Lithobates sphenocephalus"
"1214","Scaphiopus holbrookii"
"1215","Ambystoma opacum"
"1216","Ambystoma talpoideum"
"1217","Ambystoma tigrinum"
"1218","Eurycea quadridigitata"
"1219","Notophthalmus viridescens"
"1220","Esox masquinongy"
"1221","Salvelinus confluentus"
"1222","Anser canagicus"
"1223","Oligoryzomys longicaudatus"
"1224","Saguinus fuscicollis"
"1225","Sebastes entomelas"
"1226","Gulo gulo"
"1227","Sciurus vulgaris"
"1228","Meles meles"
"1229","Glareola pratincola"
"1230","Hyla arborea"
"1231","Lepidonotothen squamifrons"
"1232","Phoebetria fusca"
"1233","Stenella longirostris"
"1234","Phaethon aethereus"
"1235","Plicofollis dussumieri"
"1236","Spermophilus columbianus"
"1237","Calidris maritima"
"1238","Alosa aestivalis"
"1239","Morone americana"
"1240","Puffinus mauretanicus"
"1241","Acanthemblemaria spinosa"
"1242","Acanthemblemaria aspera"
"1243","Thinornis cucullatus"
"1244","Anseranas semipalmata"
"1245","Lophura nycthemera"
"1246","Lophura diardi"
"1247","Notemigonus crysoleucas"
"1248","Menidia menidia"
"1249","Abrothrix longipilis"
"1250","Loxioides bailleui"
"1251","Hippoglossoides elassodon"
"1252","Lepidopsetta bilineata"
"1253","Sebastes borealis"
"1254","Squalus suckleyi"
"1255","Phylloscopus trochiloides"
"1256","Coregonus albula"
"1257","Pernis apivorus"
"1258","Aquila heliaca"
"1259","Lymnocryptes minimus"
"1260","Ciconia nigra"
"1261","Bufo bufo"
"1262","Micromesistius australis"
"1263","Phoebetria palpebrata"
"1264","Macronectes halli"
"1265","Anous minutus"
"1266","Onychoprion lunatus"
"1267","Sula sula"
"1268","Pseudopentaceros wheeleri"
"1269","Phaethon rubricauda"
"1270","Megadyptes antipodes"
"1271","Mungos mungo"
"1272","Aquila fasciata"
"1273","Malpolon monspessulanus"
"1274","Rupicapra pyrenaica"
"1275","Calidris pusilla"
"1276","Anser erythropus"
"1277","Equus zebra"
"1278","Acanthopagrus berda"
"1279","Micromesistius poutassou"
"1280","Lutjanus purpureus"
"1281","Hyporthodus flavolimbatus"
"1282","Crocodylus novaeguineae"
"1283","Pteropus poliocephalus"
"1284","Anas gracilis"
"1285","Calidris acuminata"
"1286","Pluvialis dominica"
"1287","Somateria spectabilis"
"1288","Calidris melanotos"
"1289","Calidris himantopus"
"1290","Calidris subruficollis"
"1291","Calcarius lapponicus"
"1292","Pipistrellus pipistrellus"
"1293","Carduelis flavirostris"
"1294","Grus japonensis"
"1295","Acrocephalus arundinaceus"
"1296","Psephurus gladius"
"1297","Lepidocybium flavobrunneum"
"1298","Spheniscus humboldti"
"1299","Amblyrhynchus cristatus"
"1300","Monachus schauinslandi"
"1301","Lasiorhinus krefftii"
"1302","Hirundo nigricans"
"1303","Paralichthys dentatus"
"1304","Cygnus atratus"
"1305","Ardea plumifera"
"1306","Poliocephalus poliocephalus"
"1307","Calidris tenuirostris"
"1308","Elephas maximus"
"1309","Pantherophis obsoletus"
"1310","Xyrauchen texanus"
"1311","Brachyteles hypoxanthus"
"1312","Glyptocephalus zachirus"
"1313","Platichthys stellatus"
"1314","Isopsetta isolepis"
"1315","Oryx leucoryx"
"1316","Lota lota"
"1317","Salvelinus alpinus"
"1318","Lutra lutra"
"1319","Cettia cetti"
"1320","Alligator sinensis"
"1321","Rana dalmatina"
"1322","Leptonychotes weddellii"
"1323","Genypterus blacodes"
"1324","Charadrius mongolus"
"1325","Embiotoca jacksoni"
"1326","Brachyteles arachnoides"
"1327","Luscinia megarhynchos"
"1328","Hippolais polyglotta"
"1329","Testudo hermanni"
"1330","Testudo graeca"
"1331","Gymnogyps californianus"
"1332","Platanista gangetica"
"1333","Ammodytes tobianus"
"1334","Haematopus longirostris"
"1335","Philoria frosti"
"1336","Leiopelma archeyi"
"1337","Recurvirostra novaehollandiae"
"1338","Farancia abacura"
"1339","Farancia erytrogramma"
"1340","Nerodia fasciata"
"1341","Nerodia floridana"
"1342","Seminatrix pygaea"
"1343","Lucania goodei"
"1344","Lepomis microlophus"
"1345","Lepomis macrochirus"
"1346","Micropterus salmoides"
"1347","Lepomis punctatus"
"1348","Lepomis gulosus"
"1349","Hippoglossoides robustus"
"1350","Hydrobates furcatus"
"1351","Somniosus pacificus"
"1352","Elanus caeruleus"
"1353","Marmaronetta angustirostris"
"1354","Charadrius dubius"
"1355","Larus ichthyaetus"
"1356","Rallus aquaticus"
"1357","Porphyrio porphyrio"
"1358","Triturus cristatus"
"1359","Lissotriton vulgaris"
"1360","Epidalea calamita"
"1361","Arctocephalus gazella"
"1362","Merluccius hubbsi"
"1363","Diomedea amsterdamensis"
"1364","Eudyptes chrysocome"
"1365","Naso vlamingii"
"1366","Hoplostethus atlanticus"
"1367","Tilapia mariae"
"1368","Vanellus tricolor"
"1369","Vanellus miles"
"1370","Cladorhynchus leucocephalus"
"1371","Merops apiaster"
"1372","Saxicola torquatus"
"1373","Cisticola juncidis"
"1374","Sylvia melanocephala"
"1375","Sturnus unicolor"
"1376","Notolabrus tetricus"
"1377","Canis simensis"
"1378","Stenotomus chrysops"
"1379","Thalasseus bergii"
"1380","Lutjanus campechanus"
"1381","Dromaius novaehollandiae"
"1382","Lithobates catesbeianus"
"1383","Anaxyrus americanus"
"1384","Lithobates septentrionalis"
"1385","Lithobates pipiens"
"1386","Lithobates palustris"
"1387","Pseudacris maculata"
"1388","Hyla chrysoscelis"
"1389","Catostomus commersonii"
"1390","Lepisosteus osseus"
"1391","Ambloplites rupestris"
"1392","Lepomis gibbosus"
"1393","Micropterus dolomieu"
"1394","Ameiurus nebulosus"
"1395","Acris crepitans"
"1396","Ovis dalli"
"1397","Leporinus friderici"
"1398","Leucogeranus leucogeranus"
"1399","Acipenser sinensis"
"1400","Fregata minor"
"1401","Katsuwonus pelamis"
"1402","Argyrosomus thorpei"
"1403","Chrysoblephus puniceus"
"1404","Culaea inconstans"
"1405","Pungitius pungitius"
"1406","Gasterosteus aculeatus"
"1407","Salvelinus fontinalis"
"1408","Apeltes quadracus"
"1409","Microgadus proximus"
"1410","Cymatogaster aggregata"
"1411","Anarrhichthys ocellatus"
"1412","Ammodytes hexapterus"
"1413","Citharichthys sordidus"
"1414","Citharichthys stigmaeus"
"1415","Eopsetta jordani"
"1416","Lyopsetta exilis"
"1417","Microstomus pacificus"
"1418","Pleuronichthys decurrens"
"1419","Psettichthys melanostictus"
"1420","Raja binoculata"
"1421","Bathyraja interrupta"
"1422","Sebastes caurinus"
"1423","Sebastes elongatus"
"1424","Sebastes flavidus"
"1425","Sebastes proriger"
"1426","Sebastes wilsoni"
"1427","Hexagrammos decagrammus"
"1428","Podothecus accipenserinus"
"1429","Balearica regulorum"
"1430","Liopsetta glacialis"
"1431","Eleginus gracilis"
"1432","Osmerus mordax"
"1433","Stercorarius longicaudus"
"1434","Gallinago hardwickii"
"1435","Gyps bengalensis"
"1436","Graptemys geographica"
"1437","Ambystoma maculatum"
"1438","Branta hutchinsii"
"1439","Somateria fischeri"
"1440","Triglopsis quadricornis"
"1441","Prosopium cylindraceum"
"1442","Thymallus arcticus"
"1443","Puma concolor"
"1444","Leporinus obtusidens"
"1445","Pterodoras granulosus"
"1446","Luciopimelodus pati"
"1447","Larus hyperboreus"
"1448","Xema sabini"
"1449","Ardenna grisea"
"1450","Ptychoramphus aleuticus"
"1451","Daption capense"
"1452","Pagodroma nivea"
"1453","Dissostichus eleginoides"
"1454","Scomberomorus commerson"
"1455","Rhincodon typus"
"1456","Struthio camelus"
"1457","Tragelaphus angasii"
"1458","Elops machnata"
"1459","Lophius budegassa"
"1460","Lepidorhombus boscii"
"1461","Epinephelus morio"
"1462","Burramys parvus"
"1463","Pseudophryne corroboree"
"1464","Pseudophryne pengilleyi"
"1465","Notropis dorsalis"
"1466","Cygnus buccinator"
"1467","Procyon lotor"
"1468","Aneides hardii"
"1469","Pteropus samoensis"
"1470","Pteropus tonganus"
"1471","Circus pygargus"
"1472","Natrix tessellata"
"1473","Ixobrychus minutus"
"1474","Fulica cristata"
"1475","Otaria flavescens"
"1476","Argyrosomus japonicus"
"1477","Johnius dorsalis"
"1478","Serrasalmus maculatus"
"1479","Gyps himalayensis"
"1480","Neophron percnopterus"
"1481","Sarcogyps calvus"
"1482","Cichlasoma bimaculatum"
"1483","Dama dama"
"1484","Ephippiorhynchus senegalensis"
"1485","Balaenoptera musculus"
"1486","Epinephelus striatus"
"1487","Lynx canadensis"
"1488","Lontra canadensis"
"1489","Taxidea taxus"
"1490","Lynx rufus"
"1491","Urocyon cinereoargenteus"
"1492","Lepus townsendii"
"1493","Neotoma magister"
"1494","Malaclemys terrapin"
"1495","Emydoidea blandingii"
"1496","Odocoileus hemionus"
"1497","Lagopus leucura"
"1498","Thylamys elegans"
"1499","Phyllotis darwini"
"1500","Abrothrix olivaceus"
"1501","Enneacanthus gloriosus"
"1502","Hypophthalmus edentatus"
"1503","Prochilodus lineatus"
"1504","Pimelodus maculatus"
"1505","Iheringichthys labrosus"
"1506","Pinirampus pirinampu"
"1507","Zungaro zungaro"
"1508","Rhinelepis aspera"
"1509","Pomarea dimidiata"
"1510","Gallinago media"
"1511","Thalassarche carteri"
"1512","Lates calcarifer"
"1513","Lama glama"
"1514","Spheniscus magellanicus"
"1515","Pycnonotus barbatus"
"1516","Vipera ursinii"
"1517","Platygobio gracilis"
"1518","Catostomus catostomus"
"1519","Hiodon alosoides"
"1520","Eptatretus stoutii"
"1521","Hyperoodon ampullatus"
"1522","Raja brachyura"
"1523","Raja clavata"
"1524","Raja microocellata"
"1525","Leucoraja naevus"
"1526","Raja montagui"
"1527","Mesoplodon bidens"
"1528","Globicephala melas"
"1529","Lagenorhynchus acutus"
"1530","Delphinus delphis"
"1531","Stenella coeruleoalba"
"1532","Malurus cyaneus"
"1533","Oligosoma whitakeri"
"1534","Threskiornis moluccus"
"1535","Batagur baska"
"1536","Anaxyrus fowleri"
"1537","Castor canadensis"
"1538","Lagopus muta"
"1539","Dicrostonyx groenlandicus"
"1540","Bubo scandiacus"
"1541","Lacerta agilis"
"1542","Capra falconeri"
"1543","Marmota marmota"
"1544","Megascops kennicottii"
"1545","Leiopelma pakeka"
"1546","Crocodylus niloticus"
"1547","Gymnura micrura"
"1548","Holocentrus rufus"
"1549","Holacanthus ciliaris"
"1550","Pomacanthus arcuatus"
"1551","Pomacanthus paru"
"1552","Epinephelus guttatus"
"1553","Cephalopholis fulva"
"1554","Haemulon sciurus"
"1555","Haemulon aurolineatum"
"1556","Chaetodon capistratus"
"1557","Chaetodon striatus"
"1558","Chromis cyanea"
"1559","Scarus iseri"
"1560","Stegastes planifrons"
"1561","Thalassoma bifasciatum"
"1562","Chromis multilineata"
"1563","Lichenostomus melanops"
"1564","Acipenser fulvescens"
"1565","Uta stansburiana"
"1566","Alcedo atthis"
"1567","Pterodroma leucoptera"
"1568","Hypogaleus hyugaensis"
"1569","Ovis aries"
"1570","Charadrius sanctaehelenae"
"1571","Leipoa ocellata"
"1572","Dasyornis brachypterus"
"1573","Chaetodipus intermedius"
"1574","Octodon degus"
"1575","Circus cyaneus"
"1576","Lanius minor"
"1577","Vipera aspis"
"1578","Gambelia sila"
"1579","Epinephelus marginatus"
"1580","Diplodus vulgaris"
"1581","Thalassoma pavo"
"1582","Anchoa mitchilli"
"1583","Onychoprion fuscatus"
"1584","Anthochaera chrysoptera"
"1585","Phylidonyris novaehollandiae"
"1586","Lichenostomus penicillatus"
"1587","Acridotheres tristis"
"1588","Callaeas cinereus"
"1589","Anas superciliosa"
"1590","Anas castanea"
"1591","Acrocephalus australis"
"1592","Platalea minor"
"1593","Spermophilus parryii"
"1594","Storeria dekayi"
"1595","Melanitta perspicillata"
"1596","Marmota flaviventris"
"1597","Plestiodon fasciatus"
"1598","Eleutherodactylus coqui"
"1599","Eleutherodactylus portoricensis"
"1600","Eleutherodactylus gryllus"
"1601","Eleutherodactylus unicolor"
"1602","Atherina boyeri"
"1603","Numenius tenuirostris"
"1604","Tyto alba"
"1605","Sula dactylatra"
"1606","Cichlasoma urophthalmum"
"1607","Anthus spinoletta"
"1608","Phylidonyris melanops"
"1609","Calomys venustus"
"1610","Akodon azarae"
"1611","Haliaeetus vocifer"
"1612","Charadrius pecuarius"
"1613","Micropogonias undulatus"
"1614","Mullus barbatus"
"1615","Istiophorus albicans"
"1616","Anguilla australis"
"1617","Anguilla dieffenbachii"
"1618","Gyps indicus"
"1619","Gopherus agassizii"
"1620","Acipenser oxyrinchus"
"1621","Lithobates yavapaiensis"
"1622","Huso huso"
"1623","Acipenser nudiventris"
"1624","Clupea bentincki"
"1625","Stipiturus mallee"
"1626","Hydrochoeris hydrochaeris"
"1627","Terrapene carolina"
"1628","Ctenotus schomburgkii"
"1629","Ctenotus leonhardii"
"1630","Ctenotus regius"
"1631","Lucasium stenodactylum"
"1632","Rhynchoedura ornata"
"1633","Diplodactylus conspicillatus"
"1634","Pyxicephalus adspersus"
"1635","Mullus surmuletus"
"1636","Carcharhinus longimanus"
"1637","Petroica australis"
"1638","Philesturnus carunculatus"
"1639","Oligosoma alani"
"1640","Oligosoma suteri"
"1641","Chrysemys picta"
"1642","Gavia adamsii"
"1643","Strix occidentalis"
"1644","Leptonycteris curasoae"
"1645","Nectomys squamipes"
"1646","Didelphis aurita"
"1647","Philander frenatus"
"1648","Akodon cursor"
"1649","Embassichthys bathybius"
"1650","Glyptocephalus stelleri"
"1651","Microstomus achne"
"1652","Porzana porzana"
"1653","Zapornia parva"
"1654","Locustella luscinioides"
"1655","Acrocephalus melanopogon"
"1656","Panurus biarmicus"
"1657","Remiz pendulinus"
"1658","Pseudolabrus rubicundus"
"1659","Acanthurus nigrofuscus"
"1660","Acanthurus dussumieri"
"1661","Chaetodon citrinellus"
"1662","Chaetodon kleinii"
"1663","Chaetodon plebeius"
"1664","Chaetodon rainfordi"
"1665","Scarus globiceps"
"1666","Scarus psittacus"
"1667","Gomphosus varius"
"1668","Halichoeres hortulanus"
"1669","Hemigymnus fasciatus"
"1670","Pomacentrus bankanensis"
"1671","Pomacentrus coelestis"
"1672","Chaetodon trifascialis"
"1673","Scarus chameleon"
"1674","Pomacentrus lepidogenys"
"1675","Hemigymnus melapterus"
"1676","Zebrasoma scopas"
"1677","Phoebastria immutabilis"
"1678","Dugong dugon"
"1679","Saundersilarus saundersi"
"1680","Dorosoma cepedianum"
"1681","Notropis hudsonius"
"1682","Aplodinotus grunniens"
"1683","Etheostoma nigrum"
"1684","Morone chrysops"
"1685","Percina caprodes"
"1686","Pomoxis nigromaculatus"
"1687","Percopsis omiscomaycus"
"1688","Cyprinus carpio"
"1689","Neogobius melanostomus"
"1690","Cheilodactylus spectabilis"
"1691","Aplodactylus arctidens"
"1692","Olisthops cyanomelas"
"1693","Notolabrus fucicola"
"1694","Latridopsis forsteri"
"1695","Pictilabrus laticlavius"
"1696","Neoodax balteatus"
"1697","Trachinops caudimaculatus"
"1698","Pempheris multiradiata"
"1699","Acanthaluteres vittiger"
"1700","Diodon nicthemerus"
"1701","Meuschenia australis"
"1702","Polytelis swainsonii"
"1703","Genetta genetta"
"1704","Felis silvestris"
"1705","Martes foina"
"1706","Sylvia conspicillata"
"1707","Ambystoma californiense"
"1708","Hypogeomys antimena"
"1709","Ceryle rudis"
"1710","Lutjanus analis"
"1711","Tursiops truncatus"
"1712","Caranx crysos"
"1713","Scomberomorus cavalla"
"1714","Eunymphicus uvaeensis"
"1715","Probarbus jullieni"
"1716","Probarbus labeamajor"
"1717","Tamias amoenus"
"1718","Anser rossii"
"1719","Lemmus trimucronatus"
"1720","Atheresthes evermanni"
"1721","Ameiurus melas"
"1722","Hieraaetus pennatus"
"1723","Calyptorhynchus lathami"
"1724","Sorex monticolus"
"1725","Microtus pennsylvanicus"
"1726","Rhinolophus hipposideros"
"1727","Zamenis longissimus"
"1728","Acrocephalus schoenobaenus"
"1729","Urobatis jamaicensis"
"1730","Upupa epops"
"1731","Hirundo daurica"
"1732","Phoenicurus ochruros"
"1733","Locustella naevia"
"1734","Sylvia cantillans"
"1735","Sylvia undata"
"1736","Sylvia hortensis"
"1737","Phylloscopus bonelli"
"1738","Phylloscopus ibericus"
"1739","Regulus ignicapilla"
"1740","Certhia brachydactyla"
"1741","Lanius senator"
"1742","Cyanopica cyanus"
"1743","Serinus serinus"
"1744","Myxus capensis"
"1745","Bitis gabonica"
"1746","Bitis nasicornis"
"1747","Python regius"
"1748","Dendroaspis jamesoni"
"1749","Pusa hispida"
"1750","Lathamus discolor"
"1751","Onychostoma barbatulum"
"1752","Candidia barbatus"
"1753","Sauromalus ater"
"1754","Martes pennanti"
"1755","Moxostoma robustum"
"1756","Calidris fuscicollis"
"1757","Thaleichthys pacificus"
"1758","Hierophis viridiflavus"
"1759","Natrix natrix"
"1760","Lutjanus carponotatus"
"1761","Triakis semifasciata"
"1762","Galeorhinus galeus"
"1763","Sousa chinensis"
"1764","Liza dumerili"
"1765","Chelon macrolepis"
"1766","Liza richardsonii"
"1767","Liza tricuspidens"
"1768","Valamugil cunnesius"
"1769","Valamugil robustus"
"1770","Caranx sexfasciatus"
"1771","Diplodus capensis"
"1772","Lichia amia"
"1773","Lithognathus lithognathus"
"1774","Monodactylus falciformis"
"1775","Pomadasys commersonnii"
"1776","Pomadasys olivaceus"
"1777","Rhabdosargus holubi"
"1778","Rhabdosargus sarba"
"1779","Terapon jarbua"
"1780","Stereolepis gigas"
"1781","Iguana delicatissima"
"1782","Alsophis antiguae"
"1783","Pseudacris triseriata"
"1784","Colobus guereza"
"1785","Crocuta crocuta"
"1786","Falco cenchroides"
"1787","Cacatua leadbeateri"
"1788","Eolophus roseicapilla"
"1789","Falco naumanni"
"1790","Ochotona collaris"
"1791","Plectropomus leopardus"
"1792","Calidris mauri"
"1793","Charadrius semipalmatus"
"1794","Sooglossus sechellensis"
"1795","Sechellophryne gardineri"
"1796","Oreochromis mossambicus"
"1797","Glossogobius callidus"
"1798","Anthias anthias"
"1799","Sciaena umbra"
"1800","Boops boops"
"1801","Dentex dentex"
"1802","Oblada melanura"
"1803","Sarpa salpa"
"1804","Diplodus annularis"
"1805","Phalacrocorax brasilianus"
"1806","Fregata magnificens"
"1807","Sterna hirundinacea"
"1808","Anastomus oscitans"
"1809","Salvelinus malma"
"1810","Limnodromus griseus"
"1811","Amazonetta brasiliensis"
"1812","Ardea cocoi"
"1813","Syrigma sibilatrix"
"1814","Pardirallus nigricans"
"1815","Vanellus chilensis"
"1816","Charadrius collaris"
"1817","Larus maculipennis"
"1818","Megaceryle torquata"
"1819","Sebastolobus altivelis"
"1820","Engraulis anchoita"
"1821","Atherina breviceps"
"1822","Hyporhamphus capensis"
"1823","Gilchristella aestuaria"
"1824","Psammogobius knysnaensis"
"1825","Thunnus tonggol"
"1826","Heteromycteris capensis"
"1827","Pegusa nasuta"
"1828","Syngnathus watermeyeri"
"1829","Tetrapturus angustirostris"
"1830","Coryphaena hippurus"
"1831","Taractichthys steindachneri"
"1832","Alepisaurus ferox"
"1833","Gempylus serpens"
"1834","Cynoscion othonopterus"
"1835","Sebastes crameri"
"1836","Chthonicola sagittatus"
"1837","Glossopsitta concinna"
"1838","Malurus lamberti"
"1839","Taeniopygia bichenovii"
"1840","Acanthiza reguloides"
"1841","Myzomela sanguinolenta"
"1842","Rhipidura fuliginosa"
"1843","Neochmia temporalis"
"1844","Pezoporus wallicus"
"1845","Coracias garrulus"
"1846","Calandrella brachydactyla"
"1847","Anthus richardi"
"1848","Calidris ptilocnemis"
"1849","Maxomys rajah"
"1850","Maxomys whiteheadi"
"1851","Lepus arcticus"
"1852","Anaxyrus boreas"
"1853","Amia calva"
"1854","Arapaima gigas"
"1855","Agalychnis callidryas"
"1856","Incilius valliceps"
"1857","Dendropsophus ebraccatus"
"1858","Tlalocohyla loquax"
"1859","Dendropsophus microcephalus"
"1860","Tlalocohyla picta"
"1861","Hypopachus variolosus"
"1862","Lithobates berlandieri"
"1863","Scinax staufferi"
"1864","Smilisca baudinii"
"1865","Rhinolophus ferrumequinum"
"1866","Coronella austriaca"
"1867","Epigonus crassicaudus"
"1868","Crotalus pricei"
"1869","Myotis nattereri"
"1870","Plecotus auritus"
"1871","Notechis scutatus"
"1872","Myotis daubentonii"
"1873","Erimyzon sucetta"
"1874","Lepisosteus platyrhincus"
"1875","Sebastes babcocki"
"1876","Galeus melastomus"
"1877","Raja asterias"
"1878","Torpedo marmorata"
"1879","Haematopus palliatus"
"1880","Tragulus napu"
"1881","Rusa unicolor"
"1882","Prionodon linsang"
"1883","Hemigalus derbyanus"
"1884","Arctictis binturong"
"1885","Neofelis nebulosa"
"1886","Catopuma temminckii"
"1887","Prionailurus bengalensis"
"1888","Pardofelis marmorata"
"1889","Paguma larvata"
"1890","Cynogale bennettii"
"1891","Arctogalidia trivirgata"
"1892","Helarctos malayanus"
"1893","Cuon alpinus"
"1894","Martes flavigula"
"1895","Echinosorex gymnura"
"1896","Argusianus argus"
"1897","Gallus gallus"
"1898","Dicerorhinus sumatrensis"
"1899","Tapirus indicus"
"1900","Manis javanica"
"1901","Macaca nemestrina"
"1902","Lariscus insignis"
"1903","Brycon hilarii"
"1904","Trachycephalus venulosus"
"1905","Triprion petasatus"
"1906","Nemadactylus douglasii"
"1907","Variola louti"
